subject,mean_dice_before,mean_dice_after,mean_precision_before,mean_precision_after,mean_recall_before,mean_recall_after
sub-r009s067_ses-1_space-MNI152NLin2009aSym,0.6474686743914141,0.6899334268101011,0.7924230446358586,0.8526905723737374,0.7581019232217172,0.7454475875373737
sub-r010s024_ses-1_space-MNI152NLin2009aSym,0.9435410887676768,0.961138506060606,0.9406581123232324,0.9606756222727272,0.97919391510101,0.9844421058080808
sub-r002s007_ses-1_space-MNI152NLin2009aSym,0.8350095245318182,0.9744209821212122,0.8250733131681818,0.9683230691919192,0.994174763939394,0.9918958108585858
sub-r028s008_ses-1_space-MNI152NLin2009aSym,0.8648728805681818,0.8677357190929293,0.913452218121212,0.9035893939232322,0.9088370890166668,0.9249029785030304
sub-r009s018_ses-1_space-MNI152NLin2009aSym,0.9455606642424242,0.9629670973838385,0.9652982174646464,0.9981060606060606,0.9756859232424242,0.9605301951616162
sub-r017s116_ses-1_space-MNI152NLin2009aSym,0.855895101810606,0.8705893105171718,0.8653657077348486,0.8495890999166666,0.9316318135252524,0.9541703125757576
sub-r038s071_ses-1_space-MNI152NLin2009aSym,0.8124816144515151,0.8888646714696969,0.9586453019949494,0.98528267010101,0.8144445581550505,0.8590878371212121
sub-r038s064_ses-1_space-MNI152NLin2009aSym,0.7491833612020202,0.8061467316414141,0.8451370480858585,0.933773864939394,0.8326507795469696,0.8325049539848484
sub-r001s004_ses-1_space-MNI152NLin2009aSym,0.731405895580808,0.7453233499621211,0.9101292756313132,0.913549977989899,0.7641715953813132,0.7783759343308081
sub-r002s009_ses-1_space-MNI152NLin2009aSym,0.8844154638080808,0.907126671818182,0.9091603718787876,0.9105301097474748,0.927679512449495,0.9346748533838384
sub-r019s004_ses-1_space-MNI152NLin2009aSym,0.7147740950106062,0.7912676828838384,0.7955773471030303,0.8968286114141414,0.7881318870707071,0.7994053907777778
sub-r024s014_ses-1_space-MNI152NLin2009aSym,0.7842621656343435,0.797537483000505,0.9439512009898988,0.9874950073232324,0.8076325610080808,0.7901916235762626
sub-r042s030_ses-1_space-MNI152NLin2009aSym,0.8018033388555557,0.869210323459596,0.8218116319515151,0.8889567262525252,0.9617969632474748,0.9630044849848484
sub-r015s010_ses-1_space-MNI152NLin2009aSym,0.794864943520707,0.828045320651515,0.8851435621414142,0.8910918726262627,0.8384758392479797,0.8437046222777778
sub-r038s061_ses-1_space-MNI152NLin2009aSym,0.6710331970333333,0.7732003314787879,0.8224306293686868,0.8415469913333334,0.7067094087519191,0.763172106170202
sub-r004s011_ses-1_space-MNI152NLin2009aSym,0.8883464881934344,0.9466720455050504,0.9018717463434344,0.9498934876767676,0.9326636907136364,0.94748691489899
